structure,last phdos peak,sg_symbol,sg_number
"Full Formula (Ba2 La1 Sb1 O6)
Reduced Formula: Ba2LaSbO6
abc   :   6.150763   6.150751   6.150776
angles:  60.414017  60.414063  60.414024
Sites (10)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  O      0.311717  0.72753   0.227834         0
  1  O      0.272466  0.772171  0.688279         0
  2  Ba     0.748462  0.748462  0.748461         0
  3  O      0.227832  0.311721  0.727532         0
  4  La    -1e-06     1         1                0
  5  O      0.772168  0.688279  0.272469         0
  6  Ba     0.25154   0.25154   0.251538         0
  7  O      0.727533  0.227831  0.31172          0
  8  O      0.688283  0.272468  0.772166         0
  9  Sb     0.499999  0.499999  0.499999         0",687.5584521825792,R-3,148
"Full Formula (Ba2 Cu1 Cl1 O2)
Reduced Formula: Ba2CuClO2
abc   :   9.928466   9.928466   9.928466
angles:  25.192119  25.192118  25.192118
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  O     0.563016  0.563016  0.563016         0
  1  O     0.436984  0.436984  0.436984         0
  2  Cu    0.5       0.5       0.5              0
  3  Ba    0.745134  0.745134  0.745134         0
  4  Cl    0         0         0                0
  5  Ba    0.254866  0.254866  0.254866         0",628.5857291440867,R-3m,166
"Full Formula (Ga2 Ag2 Se4)
Reduced Formula: GaAgSe2
abc   :   6.059964   6.059964   7.079238
angles: 115.341312 115.341312  90.000000
Sites (8)
  #  SP           a         b     c
---  ----  --------  --------  ----
  0  Ga    0.5       0.5       0
  1  Ga    0.75      0.25      0.5
  2  Se    0.845527  0.875     0.25
  3  Se    0.625     0.154473  0.75
  4  Se    0.404473  0.375     0.25
  5  Se    0.125     0.595527  0.75
  6  Ag    0.25      0.75      0.5
  7  Ag    0         0         0",234.5857604283931,I-42d,122
"Full Formula (Ba4 I4 O2)
Reduced Formula: Ba2I2O
abc   :   6.916439   7.720033   8.763118
angles: 116.137732 113.242437  89.999427
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  I     0.349957  0.692892  0.699932         0
  1  I     0.850105  0.006926  0.699936         0
  2  Ba    0.407127  0.232862  0.814196         0
  3  I     0.149895  0.993074  0.300064         0
  4  Ba    0.592873  0.767138  0.185804         0
  5  O     0.250001  0.500002  2e-06            0
  6  Ba    0.092889  0.418659  0.185793         0
  7  I     0.650042  0.307108  0.300068         0
  8  Ba    0.907111  0.581341  0.814207         0
  9  O     0.75      0.499998  0.999998         0",390.58574804171343,Ibam,72
"Full Formula (Ca4 Bi2 O1)
Reduced Formula: Ca4Bi2O
abc   :   4.764351   4.764352   9.001427
angles: 105.345813 105.345815  90.000002
Sites (7)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.335625  0.335625  0.671251         0
  1  Ca    1e-06     0.500001  2e-06            0
  2  Bi    0.140499  0.140499  0.280999         0
  3  Ca    0.664374  0.664374  0.328749         0
  4  Bi    0.859501  0.859501  0.719001         0
  5  Ca    0.499999  0.999999  0.999998         0
  6  O     0.5       0.5       1                0",374.5857493121421,I4/mmm,139
"Full Formula (Sr2 Bi2 Br2 O4)
Reduced Formula: SrBiBrO2
abc   :   5.735570   5.859807   7.210318
angles: 113.976814  89.999986  90.000004
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Bi    0.75      0.077744  0.155366         0
  1  O     2.9e-05   0.233916  0.999965         0
  2  O     0.50003   0.766084  3.5e-05          0
  3  Sr    0.25      0.601018  0.202038         0
  4  Sr    0.75      0.398982  0.797961         0
  5  O     0.999971  0.766084  3.5e-05          0
  6  Br    0.25      0.254787  0.509399         0
  7  Br    0.75      0.745213  0.490601         0
  8  Bi    0.25      0.922256  0.844634         0
  9  O     0.499971  0.233916  0.999965         0",512.5857383546946,Cmcm,63
"Full Formula (La2 Cu2 Se2 O2)
Reduced Formula: LaCuSeO
abc   :   4.069504   4.069519   8.824540
angles:  90.000000  90.000000  90.000000
Sites (8)
  #  SP       a     b         c    magmom
---  ----  ----  ----  --------  --------
  0  O     0.25  0.75  2e-06            0
  1  O     0.75  0.25  1                0
  2  La    0.75  0.75  0.859979         0
  3  La    0.25  0.25  0.140031         0
  4  Cu    0.25  0.75  0.499992         0
  5  Se    0.75  0.75  0.330794         0
  6  Cu    0.75  0.25  0.500002         0
  7  Se    0.25  0.25  0.669197         0",470.5857416895698,P4/nmm,129
"Full Formula (Sr2 Cu1 Br1 O2)
Reduced Formula: Sr2CuBrO2
abc   :   9.834918   9.834918   9.834919
angles:  23.913604  23.913604  23.913601
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.252999  0.252999  0.252999         0
  1  Sr    0.747001  0.747001  0.747001         0
  2  O     0.436388  0.436388  0.436388         0
  3  O     0.563612  0.563612  0.563612         0
  4  Br    0         0         0                0
  5  Cu    0.5       0.5       0.5              0",631.5857289058813,R-3m,166
"Full Formula (Sr2 Bi2 I2 O4)
Reduced Formula: SrBiIO2
abc   :   5.823270   5.950064   7.544930
angles: 113.223566  89.999919  90.000007
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Bi    0.25      0.927249  0.854343         0
  1  O     0.499987  0.767345  0.999989         0
  2  Bi    0.749999  0.072751  0.145658         0
  3  Sr    0.249999  0.593011  0.186            0
  4  Sr    0.750003  0.406987  0.813999         0
  5  O     1.2e-05   0.767345  0.999989         0
  6  I     0.25      0.255167  0.510351         0
  7  I     0.75      0.744834  0.489649         0
  8  O     0.999987  0.232655  1.2e-05          0
  9  O     0.500012  0.232655  1.1e-05          0",509.5857385929,Cmcm,63
"Full Formula (Ba2 Bi2 Cl2 O4)
Reduced Formula: BaBiClO2
abc   :   5.783930   5.994016   7.336613
angles: 114.122753  89.999983  90.000029
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.75      0.382574  0.765131         0
  1  Cl    0.75      0.745815  0.491732         0
  2  O     0.500033  0.772416  6.7e-05          0
  3  O     0.499967  0.227584  0.999934         0
  4  Bi    0.75      0.074205  0.148153         0
  5  Cl    0.25      0.254184  0.508267         0
  6  Bi    0.25      0.925795  0.851847         0
  7  O     0.999968  0.772416  6.7e-05          0
  8  O     3.2e-05   0.227584  0.999934         0
  9  Ba    0.25      0.617427  0.234869         0",542.5857359726408,Cmcm,63
"Full Formula (Ba2 Cu1 Br1 O2)
Reduced Formula: Ba2CuBrO2
abc   :  10.181052  10.181053  10.181052
angles:  24.639328  24.639325  24.639328
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.748452  0.748452  0.748452         0
  1  O     0.438821  0.438821  0.438821         0
  2  Cu    0.500117  0.500117  0.500117         0
  3  Ba    0.251448  0.251448  0.251448         0
  4  O     0.561225  0.561225  0.561225         0
  5  Br    0.999937  0.999937  0.999937         0",628.5857291440867,R3m,160
"Full Formula (Ca2 Bi2 Cl2 O4)
Reduced Formula: CaBiClO2
abc   :   4.171462   6.513398   7.825487
angles: 104.784546  90.000000  90.000000
Sites (10)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Ca    0.25  0.32935   0.078758         0
  1  Ca    0.75  0.67065   0.921242         0
  2  Cl    0.25  0.94445   0.184969         0
  3  Cl    0.75  0.05555   0.815031         0
  4  Bi    0.25  0.324257  0.592851         0
  5  Bi    0.75  0.675743  0.407149         0
  6  O     0.75  0.470896  0.598058         0
  7  O     0.25  0.529104  0.401942         0
  8  O     0.75  0.488644  0.142805         0
  9  O     0.25  0.511356  0.857195         0",574.5857334317835,P2_1/m,11
"Full Formula (Sr2 Ti1 O4)
Reduced Formula: Sr2TiO4
abc   :   3.927738   3.927738   6.922928
angles: 106.479726 106.479726  90.000000
Sites (7)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  O     0.841775  0.841775  0.68355
  1  O     0.158225  0.158225  0.31645
  2  O     0         0.5       0
  3  O     0.5       0         0
  4  Ti    0         0         0
  5  Sr    0.645289  0.645289  0.290577
  6  Sr    0.354711  0.354711  0.709423",811.5857146135588,I4/mmm,139
"Full Formula (Ba2 La1 Nb1 O6)
Reduced Formula: Ba2LaNbO6
abc   :   6.138246   6.138246   6.204660
angles:  90.272252 119.471135 119.860422
Sites (10)
  #  SP           a          b          c    magmom
---  ----  --------  ---------  ---------  --------
  0  Ba    0.007725   0.753888   0.761613        -0
  1  Ba    0.992275   0.246112   0.238387        -0
  2  La    0.5       -0          0.5             -0
  3  Nb    0.5        0.5       -0               -0
  4  O     0.431058   0.272108   0.703166         0
  5  O     0.568942   0.727892   0.296834         0
  6  O     0.040574   0.305966   0.811603         0
  7  O     0.494363   0.228971   0.188397         0
  8  O     0.959426   0.694034   0.188397         0
  9  O     0.505637   0.771029   0.811603         0",735.6805937023079,C2/m,12
"Full Formula (Cs1 Cu3 O2)
Reduced Formula: CsCu3O2
abc   :   5.193991   5.193939   5.591907
angles:  90.002447  89.997022 120.000647
Sites (6)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  O     0.666677  0.333333   0.803665         0
  1  Cu    0.5       0.5       -0                0
  2  O     0.333323  0.666667   0.196335         0
  3  Cs    0         1          0.5              0
  4  Cu    1         0.5        0                0
  5  Cu    0.5       0         -0                0",605.585730970328,P-3m1,164
"Full Formula (Cs2 Cu2 O4)
Reduced Formula: CsCuO2
abc   :   5.375312   5.515052   6.656622
angles:  90.000000 113.813237  90.000000
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.682977  0.25      0.365954         0
  1  Cs    0.317023  0.75      0.634046         0
  2  Cu    0.998114  0.25      0.996229         0
  3  Cu    0.001886  0.75      0.003771         0
  4  O     0.899219  0.996707  0.798439         0
  5  O     0.100781  0.003293  0.201561         0
  6  O     0.100781  0.496707  0.201561         0
  7  O     0.899219  0.503293  0.798439         0",663.5857263650239,Cmcm,63
"Full Formula (Cs1 Be2 B1 O3 F2)
Reduced Formula: CsBe2BO3F2
abc   :   4.482532   4.482532   7.812927
angles:  73.329556  73.329556  60.000008
Sites (9)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Cs    0         -0         0                0
  1  Be    0.808063   0.808063  0.57581          0
  2  Be    0.191937   0.191937  0.42419          0
  3  B     0.5        0.5       0.5              0
  4  O     0.80866    0.5       0.5              0
  5  O     0.19134    0.80866   0.5              0
  6  O     0.5        0.19134   0.5              0
  7  F     0.737619   0.737619  0.787144        -0
  8  F     0.262381   0.262381  0.212856        -0",1384.5856691163315,R32,155
"Full Formula (Zr2 S1 N2)
Reduced Formula: Zr2SN2
abc   :   3.643570   3.643571   6.472746
angles:  90.000000  90.000000 119.999997
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zr    0.666667  0.333333  0.295451         0
  1  Zr    0.333333  0.666667  0.704549         0
  2  S     0         0         0                0
  3  N     0.333333  0.666667  0.364805         0
  4  N     0.666667  0.333333  0.635195         0",680.5857250151935,P-3m1,164
"Full Formula (Sc2 Nb2 O8)
Reduced Formula: ScNbO4
abc   :   4.864558   5.152187   5.780527
angles:  90.000000  90.000000  90.923554
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sc    0.5       0.75      0.681195         0
  1  Sc    0.5       0.25      0.318805         0
  2  Nb    0         0.25      0.816145         0
  3  Nb    0         0.75      0.183855         0
  4  O     0.780633  0.564105  0.892337         0
  5  O     0.219367  0.935895  0.892337         0
  6  O     0.780633  0.064105  0.107663         0
  7  O     0.265535  0.907401  0.385134         0
  8  O     0.734465  0.092599  0.614866         0
  9  O     0.219367  0.435895  0.107663         0
 10  O     0.265535  0.407401  0.614866         0
 11  O     0.734465  0.592599  0.385134         0",802.5857153281747,P2/c,13
"Full Formula (K1 Sb1 P2 O8)
Reduced Formula: KSb(PO4)2
abc   :   9.059865   9.059866   9.059866
angles:  31.076782  31.076781  31.076783
Sites (12)
  #  SP            a          b          c    magmom
---  ----  ---------  ---------  ---------  --------
  0  K      0.5        0.5        0.5              0
  1  Sb     0          0          0                0
  2  P      0.735166   0.735166   0.735166         0
  3  P      0.264834   0.264834   0.264834         0
  4  O      0.792828   0.792828   0.792828         0
  5  O     -0.001483   0.396508   0.743078         0
  6  O      0.207172   0.207172   0.207172         0
  7  O      0.743078  -0.001483   0.396508         0
  8  O      0.256922   1.00148    0.603492         0
  9  O      0.396508   0.743078  -0.001483         0
 10  O      0.603492   0.256922   1.00148          0
 11  O      1.00148    0.603492   0.256922         0",1194.5856842026724,R-3,148
"Full Formula (Rb1 Ta1 P2 O8)
Reduced Formula: RbTa(PO4)2
abc   :   5.111856   5.111857   8.580590
angles:  87.259386  87.259385  62.263467
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Rb    0         0         0                0
  1  Ta    0         0         0.5              0
  2  P     0.643594  0.643594  0.701293         0
  3  P     0.356406  0.356406  0.298707         0
  4  O     0.319232  0.319232  0.131591         0
  5  O     0.783952  0.310627  0.655896         0
  6  O     0.216048  0.689373  0.344104         0
  7  O     0.310627  0.783952  0.655896         0
  8  O     0.689373  0.216048  0.344104         0
  9  O     0.680768  0.680768  0.868409         0
 10  O     0.212352  0.212352  0.416488         0
 11  O     0.787648  0.787648  0.583512         0",1208.1195814195778,C2/m,12
"Full Formula (Ba1 Ag2 Sn1 S4)
Reduced Formula: BaAg2SnS4
abc   :   6.508472   6.508472   6.508471
angles: 100.313123 112.557871 115.935311
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0         0         0                0
  1  Ag    0.5       0.201822  0.701822         0
  2  Ag    0.5       0.798178  0.298178         0
  3  Sn    0         0.5       0.5              0
  4  S     0.009276  0.533164  0.137327         0
  5  S     0.990724  0.128051  0.523888         0
  6  S     0.395837  0.871949  0.862673         0
  7  S     0.604163  0.466836  0.476112         0",339.58575209120477,I222,23
"Full Formula (Cs1 Nb1 P2 O8)
Reduced Formula: CsNb(PO4)2
abc   :   5.155583   5.155583   8.994873
angles:  87.170394  87.170394  62.092321
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0         0         0                0
  1  Nb    0         0         0.5              0
  2  P     0.356252  0.356252  0.307784         0
  3  P     0.643748  0.643748  0.692216         0
  4  O     0.784314  0.313745  0.648502         0
  5  O     0.788745  0.788745  0.582091         0
  6  O     0.678818  0.678818  0.852481         0
  7  O     0.313745  0.784314  0.648502         0
  8  O     0.321182  0.321182  0.147519         0
  9  O     0.211255  0.211255  0.417909         0
 10  O     0.686255  0.215686  0.351498         0
 11  O     0.215686  0.686255  0.351498         0",1194.9022217453005,C2/m,12
"Full Formula (Zn3 S3)
Reduced Formula: ZnS
abc   :   9.708079   9.708079   9.708078
angles:  22.889683  22.889682  22.889680
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.999989  0.999989  0.999989         0
  1  Zn    0.222228  0.222228  0.222228         0
  2  Zn    0.444445  0.444445  0.444445         0
  3  S     0.083333  0.083333  0.083333         0
  4  S     0.527805  0.527805  0.527805         0
  5  S     0.305525  0.305525  0.305525         0",334.58575248821387,R3m,160
"Full Formula (Li2 As2 S4)
Reduced Formula: LiAsS2
abc   :   5.390290   5.435886   6.590256
angles: 114.359355 111.148552  89.999212
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.001202  0.767312  0.001272         0
  1  Li    0.501203  0.233949  0.001273         0
  2  As    0.682752  0.943413  0.442544         0
  3  As    0.182815  0.499222  0.44254          0
  4  S     0.523994  0.760623  0.042937         0
  5  S     0.024019  0.282217  0.042946         0
  6  S     0.285802  0.961344  0.520384         0
  7  S     0.785813  0.559059  0.520385         0",385.58574843872236,Cc,9
"Full Formula (La2 C2 N4 F2)
Reduced Formula: LaCN2F
abc   :   3.898009   4.801406   7.866349
angles:  90.000000  90.000000 113.949021
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  La    0.777816  0.555633  0.25             0
  1  La    0.222184  0.444367  0.75             0
  2  C     0.5       0         0.5              0
  3  C     0.5       0         0                0
  4  N     0.367924  0.735849  0.052619         0
  5  N     0.632076  0.264151  0.552619         0
  6  N     0.367924  0.735849  0.447381         0
  7  N     0.632076  0.264151  0.947381         0
  8  F     0.91881   0.83762   0.75             0
  9  F     0.08119   0.16238   0.25             0",2063.585615202514,Cmcm,63
"Full Formula (Ag4 Hg2 S2 I4)
Reduced Formula: Ag2HgSI2
abc   :   7.317679   7.682441   8.038964
angles: 118.543464  90.000000  90.000000
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.770218  0.182497  0.676703         0
  1  Ag    0.770218  0.505795  0.323297         0
  2  Ag    0.270218  0.494205  0.676703         0
  3  Ag    0.270218  0.817503  0.323297         0
  4  Hg    0.414194  0.024437  1                0
  5  Hg    0.914194  0.975563  0                0
  6  S     0.685127  0.202932  1                0
  7  S     0.185127  0.797068  0                0
  8  I     0.167222  0.138012  0.681563         0
  9  I     0.167222  0.45645   0.318437         0
 10  I     0.667222  0.861988  0.318437         0
 11  I     0.667222  0.54355   0.681563         0",336.58575232941024,Cmc2_1,36
"Full Formula (Rb2 P2 S6)
Reduced Formula: RbPS3
abc   :   7.204446   7.470576   7.470576
angles:  74.341194  61.171593  61.171593
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Rb    0.5       0.741725  0.258275         0
  1  Rb    0.5       0.258275  0.741725         0
  2  P     0.156989  0.343011  0.343011         0
  3  P     0.843011  0.656989  0.656989         0
  4  S     0         0.326236  0.673764         0
  5  S     0.028376  0.235689  0.235689         0
  6  S     0.499754  0.764311  0.764311         0
  7  S     1         0.673764  0.326236         0
  8  S     0.500246  0.235689  0.235689         0
  9  S     0.971624  0.764311  0.764311         0",652.5857272384436,Immm,71
"Full Formula (Rb2 S2)
Reduced Formula: RbS
abc   :   5.076757   6.134352   6.134352
angles:  68.337046  65.556391  65.556395
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Rb    0.722581  0.777419  0.777419         0
  1  Rb    0.277419  0.222581  0.222581         0
  2  S     1         0.154742  0.845258         0
  3  S     0         0.845258  0.154742         0",480.58574089555196,Immm,71
"Full Formula (Ba1 B2 F8)
Reduced Formula: BaB2F8
abc   :   4.856470   5.110256   6.873837
angles: 111.819656 110.372546  89.999785
Sites (11)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0         0         0                0
  1  B     0.291356  0.347686  0.695323         0
  2  B     0.708644  0.652314  0.304677         0
  3  F     0.467445  0.61223   0.768767         0
  4  F     0.850898  0.770391  0.540928         0
  5  F     0.467478  0.156578  0.768708         0
  6  F     0.073779  0.399123  0.798366         0
  7  F     0.532522  0.843422  0.231292         0
  8  F     0.532555  0.38777   0.231233         0
  9  F     0.149102  0.229609  0.459072         0
 10  F     0.926221  0.600877  0.201634         0",1151.5856876169494,C2/m,12
"Full Formula (Sc2 Ta2 O8)
Reduced Formula: ScTaO4
abc   :   4.848021   5.155246   5.749077
angles:  90.000000  90.000000  91.485563
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sc    0.5       0.25      0.322905         0
  1  Sc    0.5       0.75      0.677095         0
  2  Ta    0         0.25      0.822753         0
  3  Ta    0         0.75      0.177247         0
  4  O     0.217453  0.43524   0.107336         0
  5  O     0.264865  0.405037  0.616489         0
  6  O     0.782547  0.06476   0.107336         0
  7  O     0.735135  0.594963  0.383511         0
  8  O     0.735135  0.094963  0.616489         0
  9  O     0.217453  0.93524   0.892664         0
 10  O     0.264865  0.905037  0.383511         0
 11  O     0.782547  0.56476   0.892664         0",811.5857146135588,P2/c,13
"Full Formula (Ba1 Si1 F6)
Reduced Formula: BaSiF6
abc   :   4.850694   4.850694   4.850694
angles:  98.206484  98.206484  98.206484
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  F     0.747997  0.747997  0.075819
  1  F     0.747997  0.075819  0.747997
  2  F     0.252003  0.924181  0.252003
  3  F     0.252003  0.252003  0.924181
  4  F     0.924181  0.252003  0.252003
  5  F     0.075819  0.747997  0.747997
  6  Si    0         0         0
  7  Ba    0.5       0.5       0.5",785.5857166780053,R-3m,166
"Full Formula (Sc1 F3)
Reduced Formula: ScF3
abc   :   4.068750   4.068749   4.068749
angles:  89.828485  89.828485  89.828475
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sc    0         0         0                0
  1  F     0.5       0.011566  0.988434         0
  2  F     0.011566  0.988434  0.5              0
  3  F     0.988434  0.5       0.011566         0",637.5857284294706,R32,155
"Full Formula (Sc2 Si2 O7)
Reduced Formula: Sc2Si2O7
abc   :   4.736923   5.403941   5.403941
angles: 105.289409  97.770237  97.770237
Sites (11)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  O     0.788456  0.922622  0.607701
  1  O     0.211544  0.392299  0.077378
  2  O     0.211544  0.077378  0.392299
  3  O     0.788456  0.607701  0.922622
  4  O     0.5       0         0
  5  O     0.280362  0.605376  0.605376
  6  O     0.719638  0.394624  0.394624
  7  Si    0.406635  0.223714  0.223714
  8  Si    0.593365  0.776286  0.776286
  9  Sc    0         0.310272  0.689728
 10  Sc    0         0.689728  0.310272",1145.58568809336,C2/m,12
"Full Formula (Cs2 Cd2 Au2 S4)
Reduced Formula: CsCdAuS2
abc   :   6.224677   6.839845   7.878290
angles: 115.727686  90.000000  90.000000
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.230512  0.75      0.5              0
  1  Cs    0.769488  0.25      0.5              0
  2  Cd    0.5       0.75      0                0
  3  Cd    0.5       0.25      0                0
  4  Au    0         0         0                0
  5  Au    0         0.5       0                0
  6  S     0.709936  0.894751  0.789502         0
  7  S     0.709936  0.605249  0.210498         0
  8  S     0.290064  0.394751  0.789502         0
  9  S     0.290064  0.105249  0.210498         0",330.5857528058209,Cmme,67
"Full Formula (Zn2 S2)
Reduced Formula: ZnS
abc   :   3.848277   3.848277   6.317452
angles:  90.000000  90.000000 119.994645
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.33332   0.66668   0.500051         0
  1  Zn    0.66668   0.33332   5.1e-05          0
  2  S     0.333322  0.666678  0.125949        -0
  3  S     0.666678  0.333322  0.625949        -0",334.58575248821387,P6_3mc,186
"Full Formula (Cs2 Na1 Bi1 F6)
Reduced Formula: Cs2NaBiF6
abc   :   6.608106   6.608106   6.608106
angles:  59.999998  59.999999  59.999998
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.25      0.25      0.25             0
  1  Cs    0.75      0.75      0.75             0
  2  Na    0.5       0.5       0.5              0
  3  Bi    0         0         0                0
  4  F     0.244528  0.755472  0.244528         0
  5  F     0.755472  0.755472  0.244528         0
  6  F     0.755472  0.244528  0.755472         0
  7  F     0.755472  0.244528  0.244528         0
  8  F     0.244528  0.755472  0.755472         0
  9  F     0.244528  0.244528  0.755472         0",442.5857439128201,Fm-3m,225
"Full Formula (Cs2 Na2 Ti2 O6)
Reduced Formula: CsNaTiO3
abc   :   5.671140   6.075206   6.456407
angles: 118.065389  90.000000  90.000000
Sites (12)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Cs    0.75  0.267663  0.535326         0
  1  Cs    0.25  0.732337  0.464674         0
  2  Na    0.25  0.426183  0.852366         0
  3  Na    0.75  0.573817  0.147634         0
  4  Ti    0.25  0.048874  0.097747         0
  5  Ti    0.75  0.951126  0.902253         0
  6  O     0.25  0.204234  0.408468         0
  7  O     0     0.210717  1                0
  8  O     0.5   0.789283  0                0
  9  O     0.5   0.210717  1                0
 10  O     0     0.789283  0                0
 11  O     0.75  0.795766  0.591532         0",793.585716042791,Cmcm,63
"Full Formula (Cs2 K1 Rh1 F6)
Reduced Formula: Cs2KRhF6
abc   :   6.526908   6.526908   6.526908
angles:  59.999998  59.999996  60.000003
Sites (10)
  #  SP          a        b        c    magmom
---  ----  -------  -------  -------  --------
  0  Cs    0.75     0.75     0.75            0
  1  Cs    0.25     0.25     0.25            0
  2  K     0.5      0.5      0.5             0
  3  Rh    0        0        0               0
  4  F     0.21938  0.78062  0.78062         0
  5  F     0.21938  0.78062  0.21938         0
  6  F     0.21938  0.21938  0.78062         0
  7  F     0.78062  0.78062  0.21938         0
  8  F     0.78062  0.21938  0.21938         0
  9  F     0.78062  0.21938  0.78062         0",543.5857358932392,Fm-3m,225
"Full Formula (Cs1 La1 S2)
Reduced Formula: CsLaS2
abc   :   8.444690   8.444690   8.444689
angles:  29.802693  29.802697  29.802696
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0         0         0                0
  1  La    0.5       0.5       0.5              0
  2  S     0.229467  0.229467  0.229467         0
  3  S     0.770533  0.770533  0.770533         0",247.5857593961698,R-3m,166
"Full Formula (Cs2 Sn2 S6)
Reduced Formula: CsSnS3
abc   :   6.860851   7.561133   7.766036
angles:  98.820441 114.449490 107.955839
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.768085  0.815798  0.138934         0
  1  Cs    0.231915  0.184202  0.861066         0
  2  Sn    0.222474  0.512917  0.425747         0
  3  Sn    0.777526  0.487083  0.574253         0
  4  S     0.168439  0.602129  0.113243         0
  5  S     0.781544  0.301361  0.288216         0
  6  S     0.340208  0.239842  0.437754         0
  7  S     0.659792  0.760158  0.562246         0
  8  S     0.831561  0.397871  0.886757         0
  9  S     0.218456  0.698639  0.711784         0",459.58574256298965,P-1,2
"Full Formula (Cs2 Ag6 S4)
Reduced Formula: CsAg3S2
abc   :   4.377540   8.449436   9.168371
angles: 112.188862  90.000000 105.013304
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.135453  0.270906  0.043169         0
  1  Cs    0.864547  0.729094  0.956831         0
  2  Ag    0.058324  0.116648  0.40143          0
  3  Ag    0.941676  0.883352  0.59857          0
  4  Ag    0.40416   0.80832   0.353526         0
  5  Ag    0.59584   0.19168   0.646474         0
  6  Ag    0.688198  0.376397  0.41788          0
  7  Ag    0.311802  0.623603  0.58212          0
  8  S     0.808367  0.616734  0.314734         0
  9  S     0.191633  0.383265  0.685266         0
 10  S     0.521669  0.043338  0.235278         0
 11  S     0.478331  0.956662  0.764722         0",268.5857577287321,C2/m,12
"Full Formula (Cs1 Hg1 F3)
Reduced Formula: CsHgF3
abc   :   4.675216   4.675216   4.675216
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Cs    0    0    0           0
  1  Hg    0.5  0.5  0.5         0
  2  F     0    0.5  0.5         0
  3  F     0.5  0.5  0           0
  4  F     0.5  0    0.5         0",422.0160755603324,Pm-3m,221
